run_ts_utc,default_submission_model,Model,RMSLE,RMSE,R2,submission_model,MAE,version,Temporal_RMSLE,Temporal_MAE,CombinedScore,FoldStd
2026-02-25T18:27:16.127051+00:00,XGBoost Tuned,XGBoost Tuned,0.2559,4972932.91,0.7994,,,,,,,
2026-02-25T18:27:16.127051+00:00,XGBoost Tuned,Top-Model Blend,0.2577,5142491.09,0.7855,,,,,,,
2026-02-25T18:27:16.127051+00:00,XGBoost Tuned,LightGBM Tuned,0.2673,5401510.36,0.7633,,,,,,,
2026-02-25T18:27:16.127051+00:00,XGBoost Tuned,Ridge Regression,0.5064,7853746.41,0.4996,,,,,,,
2026-02-25T18:27:16.127051+00:00,XGBoost Tuned,UnitPrice Rebuild,0.7266,10238446.09,0.1496,,,,,,,
2026-02-25T18:34:36.439369+00:00,Top-Model Blend,Top-Model Blend,0.4628,7879916.86,0.5749,,,,,,,
2026-02-25T18:34:36.439369+00:00,Top-Model Blend,XGBoost Tuned,0.4651,7830178.99,0.5802,,,,,,,
2026-02-25T18:34:36.439369+00:00,Top-Model Blend,LightGBM Tuned,0.466,7955513.61,0.5667,,,,,,,
2026-02-25T18:34:36.439369+00:00,Top-Model Blend,Ridge Regression,0.5565,7719894.3,0.5919,,,,,,,
2026-02-25T18:40:00.064086+00:00,Top-Model Blend,Top-Model Blend,0.4214,7824941.26,0.5808,,,,,,,
2026-02-25T18:40:00.064086+00:00,Top-Model Blend,LineItem LightGBM,0.4564,8276150.38,0.531,,,,,,,
2026-02-25T18:40:00.064086+00:00,Top-Model Blend,XGBoost Tuned,0.4651,7830178.99,0.5802,,,,,,,
2026-02-25T18:40:00.064086+00:00,Top-Model Blend,LightGBM Tuned,0.466,7955513.61,0.5667,,,,,,,
2026-02-25T18:40:00.064086+00:00,Top-Model Blend,Ridge Regression,0.5565,7719894.3,0.5919,,,,,,,
2026-02-25T18:42:11.109360+00:00,Top-Model Blend,Top-Model Blend,0.4153,7915483.03,0.571,,,,,,,
2026-02-25T18:42:11.109360+00:00,Top-Model Blend,LineItem LightGBM,0.4564,8276150.38,0.531,,,,,,,
2026-02-25T18:42:11.109360+00:00,Top-Model Blend,XGBoost Tuned,0.4651,7830178.99,0.5802,,,,,,,
2026-02-25T18:42:11.109360+00:00,Top-Model Blend,LightGBM Tuned,0.466,7955513.61,0.5667,,,,,,,
2026-02-25T18:42:11.109360+00:00,Top-Model Blend,Ridge Regression,0.5565,7719894.3,0.5919,,,,,,,
2026-02-25T18:44:02.055235+00:00,Top-Model Blend,Top-Model Blend,0.4153,7915483.03,0.571,,,,,,,
2026-02-25T18:44:02.055235+00:00,Top-Model Blend,LineItem LightGBM,0.4564,8276150.38,0.531,,,,,,,
2026-02-25T18:44:02.055235+00:00,Top-Model Blend,XGBoost Tuned,0.4651,7830178.99,0.5802,,,,,,,
2026-02-25T18:44:02.055235+00:00,Top-Model Blend,LightGBM Tuned,0.466,7955513.61,0.5667,,,,,,,
2026-02-25T18:44:02.055235+00:00,Top-Model Blend,Ridge Regression,0.5565,7719894.3,0.5919,,,,,,,
2026-02-25T18:47:35.575801+00:00,Top-Model Blend,Top-Model Blend,0.4153,7915483.03,0.571,,,,,,,
2026-02-25T18:47:35.575801+00:00,Top-Model Blend,LineItem LightGBM,0.4564,8276150.38,0.531,,,,,,,
2026-02-25T18:47:35.575801+00:00,Top-Model Blend,XGBoost Tuned,0.4651,7830178.99,0.5802,,,,,,,
2026-02-25T18:47:35.575801+00:00,Top-Model Blend,LightGBM Tuned,0.466,7955513.61,0.5667,,,,,,,
2026-02-25T18:47:35.575801+00:00,Top-Model Blend,Ridge Regression,0.5565,7719894.3,0.5919,,,,,,,
2026-02-25T18:56:24.012036+00:00,Top-Model Blend,Top-Model Blend,0.3981,7820648.8,0.5812,,,,,,,
2026-02-25T18:56:24.012036+00:00,Top-Model Blend,LineItem LightGBM,0.4233,7974421.06,0.5646,,,,,,,
2026-02-25T18:56:24.012036+00:00,Top-Model Blend,XGBoost Tuned,0.4651,7830178.99,0.5802,,,,,,,
2026-02-25T18:56:24.012036+00:00,Top-Model Blend,LightGBM Tuned,0.466,7955513.61,0.5667,,,,,,,
2026-02-25T18:56:24.012036+00:00,Top-Model Blend,Ridge Regression,0.5565,7719894.3,0.5919,,,,,,,
2026-02-25T19:03:28.804577+00:00,Top-Model Blend,Top-Model Blend,0.3981,7820648.8,0.5812,,,,,,,
2026-02-25T19:03:28.804577+00:00,Top-Model Blend,LineItem LightGBM,0.4233,7974421.06,0.5646,,,,,,,
2026-02-25T19:03:28.804577+00:00,Top-Model Blend,XGBoost Tuned,0.4651,7830178.99,0.5802,,,,,,,
2026-02-25T19:03:28.804577+00:00,Top-Model Blend,LightGBM Tuned,0.466,7955513.61,0.5667,,,,,,,
2026-02-25T19:03:28.804577+00:00,Top-Model Blend,Ridge Regression,0.5565,7719894.3,0.5919,,,,,,,
2026-02-26T02:34:22.014242+00:00,Top-Model Blend,Top-Model Blend,0.3981,7820648.8,0.5812,,,,,,,
2026-02-26T02:34:22.014242+00:00,Top-Model Blend,LineItem LightGBM,0.4233,7974421.06,0.5646,,,,,,,
2026-02-26T02:34:22.014242+00:00,Top-Model Blend,XGBoost Tuned,0.4651,7830178.99,0.5802,,,,,,,
2026-02-26T02:34:22.014242+00:00,Top-Model Blend,LightGBM Tuned,0.466,7955513.61,0.5667,,,,,,,
2026-02-26T02:34:22.014242+00:00,Top-Model Blend,Ridge Regression,0.5565,7719894.3,0.5919,,,,,,,
2026-02-26T03:29:20.286407+00:00,Top-Model Blend,Top-Model Blend,0.3981,7820648.8,0.5812,,,,,,,
2026-02-26T03:29:20.286407+00:00,Top-Model Blend,LineItem LightGBM,0.4233,7974421.06,0.5646,,,,,,,
2026-02-26T03:29:20.286407+00:00,Top-Model Blend,XGBoost Tuned,0.4651,7830178.99,0.5802,,,,,,,
2026-02-26T03:29:20.286407+00:00,Top-Model Blend,LightGBM Tuned,0.466,7955513.61,0.5667,,,,,,,
2026-02-26T03:29:20.286407+00:00,Top-Model Blend,Ridge Regression,0.5565,7719894.3,0.5919,,,,,,,
2026-02-26T04:10:10.177042+00:00,XGB+LGB Ensemble,XGBoost,0.2893,7446132.51,0.6204,,,,,,,
2026-02-26T04:10:10.177042+00:00,XGB+LGB Ensemble,XGB+LGB Ensemble,0.2893,7418005.07,0.6232,,,,,,,
2026-02-26T04:10:10.177042+00:00,XGB+LGB Ensemble,LightGBM,0.2985,6982599.07,0.6662,,,,,,,
2026-02-26T04:10:10.177042+00:00,XGB+LGB Ensemble,Ridge Regression,0.3347,9312108.93,0.4063,,,,,,,
2026-02-26T04:24:25.021977+00:00,XGB+LGB Ensemble,XGBoost,0.2886,7416961.8,0.6233,,,,,,,
2026-02-26T04:24:25.021977+00:00,XGB+LGB Ensemble,XGB+LGB Ensemble,0.2886,7416961.8,0.6233,,,,,,,
2026-02-26T04:24:25.021977+00:00,XGB+LGB Ensemble,LightGBM,0.2985,6982599.07,0.6662,,,,,,,
2026-02-26T04:24:25.021977+00:00,XGB+LGB Ensemble,Ridge Regression,0.3347,9312108.93,0.4063,,,,,,,
2026-02-26T09:47:14.823347+00:00,,XGBoost,0.2766,7263324.18,0.6388,XGB+LGB Ensemble,,,,,,
2026-02-26T09:47:14.823347+00:00,,XGB+LGB Ensemble,0.2766,7263324.18,0.6388,XGB+LGB Ensemble,,,,,,
2026-02-26T09:47:14.823347+00:00,,LightGBM,0.2855,6859208.54,0.6779,XGB+LGB Ensemble,,,,,,
2026-02-26T09:47:14.823347+00:00,,Ridge,0.3224,3931514.42,0.8942,XGB+LGB Ensemble,,,,,,
2026-02-26T12:31:06.644189+00:00,XGB+LGB Ensemble,XGBoost,0.2886,7416961.8,0.6233,,,,,,,
2026-02-26T12:31:06.644189+00:00,XGB+LGB Ensemble,XGB+LGB Ensemble,0.2886,7416961.8,0.6233,,,,,,,
2026-02-26T12:31:06.644189+00:00,XGB+LGB Ensemble,LightGBM,0.2985,6982599.07,0.6662,,,,,,,
2026-02-26T12:31:06.644189+00:00,XGB+LGB Ensemble,Ridge Regression,0.3347,9312108.93,0.4063,,,,,,,
2026-02-26T12:44:01.404862+00:00,,XGBoost,0.2766,7263324.18,0.6388,XGB+LGB Ensemble,,,,,,
2026-02-26T12:44:01.404862+00:00,,XGB+LGB Ensemble,0.2766,7263324.18,0.6388,XGB+LGB Ensemble,,,,,,
2026-02-26T12:44:01.404862+00:00,,LightGBM,0.2855,6859208.54,0.6779,XGB+LGB Ensemble,,,,,,
2026-02-26T12:44:01.404862+00:00,,Ridge,0.3224,3931514.42,0.8942,XGB+LGB Ensemble,,,,,,
2026-02-27T02:03:20.113835+00:00,,XGBoost,0.2783,7139290.7,0.651,Ensemble,905164.84,,,,,
2026-02-27T02:03:20.113835+00:00,,Ensemble,0.2783,7139290.7,0.651,Ensemble,905164.84,,,,,
2026-02-27T02:03:20.113835+00:00,,LightGBM,0.2912,7728039.55,0.5911,Ensemble,984770.12,,,,,
2026-02-27T02:03:20.113835+00:00,,Ridge,0.3631,4104309.08,0.8847,Ensemble,809256.1,,,,,
2026-02-27T02:19:42.289089+00:00,,XGBoost,0.2783,7139290.7,0.651,XGBoost,905164.84,v1.4,,,,
2026-02-27T02:19:42.289089+00:00,,Ensemble,0.2783,7139290.7,0.651,XGBoost,905164.84,v1.4,,,,
2026-02-27T02:19:42.289089+00:00,,LightGBM,0.2912,7728039.55,0.5911,XGBoost,984770.12,v1.4,,,,
2026-02-27T02:19:42.289089+00:00,,Ridge,0.3631,4104309.08,0.8847,XGBoost,809256.1,v1.4,,,,
2026-02-27T07:24:54.574015+00:00,,XGBoost,0.2783,7139290.7,0.651,XGBoost,905164.84,v1.4,,,,
2026-02-27T07:24:54.574015+00:00,,Ensemble,0.2783,7139290.7,0.651,XGBoost,905164.84,v1.4,,,,
2026-02-27T07:24:54.574015+00:00,,LightGBM,0.2908,7665182.4,0.5977,XGBoost,970170.89,v1.4,,,,
2026-02-27T07:24:54.574015+00:00,,Ridge,0.3631,4104309.08,0.8847,XGBoost,809256.1,v1.4,,,,
2026-02-27T08:32:52.087130+00:00,,XGBoost,0.2761,7121367.68,0.6528,XGBoost,898435.08,v1.4,,,,
2026-02-27T08:32:52.087130+00:00,,Ensemble,0.2761,7121367.68,0.6528,XGBoost,898435.08,v1.4,,,,
2026-02-27T08:32:52.087130+00:00,,LightGBM,0.2908,7665182.4,0.5977,XGBoost,970170.89,v1.4,,,,
2026-02-27T08:32:52.087130+00:00,,Ridge,0.3631,4104309.08,0.8847,XGBoost,809256.1,v1.4,,,,
2026-02-27T09:29:07.645883+00:00,,XGBoost,0.278,7138145.48,0.6511,XGBoost,905404.12,v1.4,,,,
2026-02-27T09:29:07.645883+00:00,,Ensemble,0.278,7138145.48,0.6511,XGBoost,905404.12,v1.4,,,,
2026-02-27T09:29:07.645883+00:00,,LightGBM,0.2913,7667648.6,0.5974,XGBoost,976137.15,v1.4,,,,
2026-02-27T09:29:07.645883+00:00,,Ridge,0.3631,4104309.08,0.8847,XGBoost,809256.1,v1.4,,,,
2026-02-27T11:41:55.241230+00:00,,Ensemble,0.2835,9451116.93,0.5648,Ensemble,872611.24,v1.5,,,,
2026-02-27T11:41:55.241230+00:00,,XGBoost,0.2842,9402438.9,0.5693,Ensemble,878710.5,v1.5,,,,
2026-02-27T11:41:55.241230+00:00,,Ridge,0.2977,2627280.74,0.9173,Ensemble,788692.99,v1.5,,,,
2026-02-27T11:41:55.241230+00:00,,LightGBM,0.2992,9643231.47,0.547,Ensemble,893320.28,v1.5,,,,
2026-02-27T11:55:48.200187+00:00,,Ensemble,0.2897,9540813.73,0.5565,Ensemble,875205.69,v1.5b,,,,
2026-02-27T11:55:48.200187+00:00,,XGBoost,0.2922,9603513.64,0.5507,Ensemble,888597.13,v1.5b,,,,
2026-02-27T11:55:48.200187+00:00,,LightGBM,0.2979,9538722.82,0.5567,Ensemble,901456.37,v1.5b,,,,
2026-02-27T11:55:48.200187+00:00,,Ridge,0.3002,2623361.61,0.9175,Ensemble,794037.31,v1.5b,,,,
2026-02-27T11:56:05.022509+00:00,,Ensemble,0.3015,9565167.56,0.5543,Ensemble,886359.43,v1.5c,,,,
2026-02-27T11:56:05.022509+00:00,,XGBoost,0.302,9571639.3,0.5537,Ensemble,891152.68,v1.5c,,,,
2026-02-27T11:56:05.022509+00:00,,LightGBM,0.3141,9599719.27,0.551,Ensemble,902493.37,v1.5c,,,,
2026-02-27T11:56:05.022509+00:00,,Ridge,0.3351,3806397.65,0.8263,Ensemble,1058751.92,v1.5c,,,,
2026-02-27T12:07:51.587618+00:00,,Ensemble,0.2835,9451116.93,0.5648,Ensemble,872611.24,v1.5,,,,
2026-02-27T12:07:51.587618+00:00,,XGBoost,0.2842,9402438.9,0.5693,Ensemble,878710.5,v1.5,,,,
2026-02-27T12:07:51.587618+00:00,,Ridge,0.2977,2627280.74,0.9173,Ensemble,788692.99,v1.5,,,,
2026-02-27T12:07:51.587618+00:00,,LightGBM,0.2992,9643231.47,0.547,Ensemble,893320.28,v1.5,,,,
2026-02-27T12:09:09.337302+00:00,,Ensemble,0.2842,9475646.27,0.5626,Ensemble,871354.11,v1.5d,,,,
2026-02-27T12:09:09.337302+00:00,,XGBoost,0.2851,9431623.07,0.5666,Ensemble,878016.94,v1.5d,,,,
2026-02-27T12:09:09.337302+00:00,,Ridge,0.2979,2644042.97,0.9162,Ensemble,790569.97,v1.5d,,,,
2026-02-27T12:09:09.337302+00:00,,LightGBM,0.2995,9652021.26,0.5461,Ensemble,893902.57,v1.5d,,,,
2026-02-27T12:20:05.886450+00:00,,Ensemble,0.2842,9475646.27,0.5626,Ensemble,871354.11,v1.5d,,,,
2026-02-27T12:20:05.886450+00:00,,XGBoost,0.2851,9431623.07,0.5666,Ensemble,878016.94,v1.5d,,,,
2026-02-27T12:20:05.886450+00:00,,Ridge,0.2979,2644042.97,0.9162,Ensemble,790569.97,v1.5d,,,,
2026-02-27T12:20:05.886450+00:00,,LightGBM,0.2995,9652021.26,0.5461,Ensemble,893902.57,v1.5d,,,,
2026-02-27T12:32:33.672057+00:00,,XGBoost,0.2835,9361359.07,0.5731,XGBoost,880836.43,v1.6,,,,
2026-02-27T12:32:33.672057+00:00,,CatBoost (fallback=XGB),0.2835,9361359.07,0.5731,XGBoost,880836.43,v1.6,,,,
2026-02-27T12:32:33.672057+00:00,,Stacked,0.2837,9421133.25,0.5676,XGBoost,853556.47,v1.6,,,,
